缘	  
缁	  
缫	  
骣	  
骎	  
骕	  
纼	  
绋	  
纪	  
缗	  
绿	  
纠	  
纽	  
绌	  
驰	  
缀	  
驭	  
纾	  
绎	  
驿	  
骖	  
经	  
骚	  
骏	  
缪	  
绐	  
骀	  
综	  
绽	  
绾	  
缤	  
驼	  
缩	  
书	  
幺	  
彖	  
母	  
丝	  
毋	  
毌	  
马	  
绒	  
缰	  
骊	  
乡	  
乜	  
巛	  
幻	  
绑	  
纭	  
线	  
纡	  
纬	  
绩	  
纮	  
绂	  
驮	  
缄	  
缅	  
绔	  
绮	  
缛	  
骑	  
缭	  
练	  
纯	  
绕	  
骁	  
驱	  
纰	  
绖	  
续	  
纣	  
绠	  
红	  
绀	  
绁	  
缥	  
骠	  
缚	  
缂	  
骤	  
缜	  
骐	  
绪	  
缙	  
绯	  
骥	  
绰	  
缧	  
骡	  
巢	  
纳	  
驶	  
骒	  
甾	  
组	  
细	  
驵	  
驷	  
绅	  
畿	  
骋	  
缋	  
蠡	  
纲	  
缌	  
缨	  
贯	  
缱	  
缳	  
缈	  
缆	  
剿	  
驯	  
绵	  
缴	  
缎	  
骢	  
缒	  
缍	  
纤	  
纥	  
彘	  
缵	  
骄	  
绣	  
绶	  
缓	  
驳	  
纷	  
绥	  
绉	  
驺	  
绝	  
终	  
约	  
级	  
纨	  
鸶	  
纸	  
绛	  
骝	  
绹	  
缝	  
绚	  
绦	  
络	  
绺	  
驹	  
骆	  
绸	  
绻	  
绨	  
缣	  
绊	  
继	  
骈	  
彝	  
缢	  
缕	  
缯	  
缮	  
纹	  
驻	  
纩	  
骍	  
缔	  
缠	  
缡	  
绞	  
纺	  
统	  
骇	  
缟	  
骧	  
骟	  
驴	  
编	  
骗	  
纫	  
幼	  
绍	  
缑	  
验	  
绘	  
缏	  
驸	  
骅	  
纶	  
维	  
骓	  
飨	  
纵	  
给	  
绷	  
巡	  
邋	  
绲	  
缇	  
缦	  
驲	  
缃	  
邕	  
缉	  
绳	  
织	  
绢	  
缲	  
辔	  
缬	  
绫	  
结	  
纱	  
绱	  
绡	  
糸	  
绗	  
刁	  
叚	  
弱	  
即	  
孱	  
那	  
郡	  
弢	  
屈	  
弛	  
屙	  
建	  
弘	  
弪	  
尽	  
屄	  
夬	  
尺	  
肃	  
艮	  
隶	  
卐	  
疆	  
鬻	  
尸	  
尹	  
卂	  
引	  
弗	  
聿	  
己	  
已	  
巳	  
弓	  
民	  
层	  
璧	  
弼	  
异	  
甓	  
既	  
屁	  
屋	  
寻	  
导	  
尉	  
展	  
屚	  
弭	  
屉	  
巽	  
屠	  
居	  
屝	  
螱	  
届	  
帚	  
幦	  
屃	  
费	  
刷	  
剥	  
剧	  
属	  
张	  
改	  
敢	  
犟	  
尾	  
艴	  
殿	  
尻	  
尼	  
弥	  
弧	  
粥	  
屎	  
群	  
屏	  
弹	  
羼	  
屡	  
灵	  
熨	  
弦	  
襞	  
譬	  
辟	  
弶	  
忌	  
恳	  
愍	  
慰	  
憨	  
憵	  
嬖	  
劈	  
弨	  
弸	  
臀	  
臂	  
迅	  
迟	  
退	  
逮	  
逯	  
遐	  
避	  
昼	  
暨	  
犀	  
尿	  
录	  
檗	  
躄	  
屌	  
强	  
咫	  
司	  
君	  
局	  
鐾	  
垦	  
壁	  
屑	  
弰	  
擘	  
屐	  
屣	  
履	  
屦	  
卺	  
乸	  
骘	  
限	  
了	  
函	  
郿	  
陉	  
孮	  
院	  
陀	  
孓	  
承	  
疋	  
丑	  
丞	  
亟	  
卫	  
子	  
孑	  
隔	  
爿	  
出	  
卍	  
也	  
孔	  
巴	  
阱	  
陆	  
阮	  
祟	  
际	  
奘	  
陇	  
阢	  
陑	  
隋	  
随	  
陌	  
隳	  
戕	  
陈	  
阵	  
陛	  
陕	  
孺	  
陬	  
陋	  
牁	  
阿	  
阯	  
陟	  
阽	  
蚩	  
蛋	  
隅	  
孟	  
眉	  
阻	  
隈	  
隗	  
隍	  
隩	  
陴	  
孜	  
收	  
阼	  
陲	  
阡	  
孢	  
鹛	  
降	  
陷	  
陶	  
隆	  
隐	  
阪	  
孤	  
粜	  
牂	  
隘	  
隧	  
疏	  
防	  
孩	  
陔	  
障	  
陪	  
陂	  
勐	  
险	  
除	  
附	  
阶	  
队	  
胥	  
阴	  
辽	  
逊	  
隰	  
疍	  
隄	  
阳	  
陧	  
陨	  
陡	  
陵	  
坠	  
堕	  
隙	  
孙	  
骛	  
艰	  
邓	  
邰	  
厶	  
又	  
双	  
羽	  
熊	  
叉	  
习	  
登	  
矛	  
予	  
癸	  
弁	  
羿	  
叁	  
畚	  
预	  
颈	  
颡	  
参	  
戏	  
戮	  
戳	  
翄	  
对	  
蚤	  
蝥	  
叠	  
瞀	  
甬	  
翀	  
翼	  
蟊	  
矞	  
观	  
刭	  
剟	  
矣	  
牟	  
毵	  
豫	  
鸡	  
鹜	  
鹨	  
鹬	  
允	  
凳	  
能	  
欢	  
炱	  
翌	  
巯	  
翠	  
翯	  
怠	  
怼	  
恿	  
翚	  
皴	  
婺	  
劝	  
劲	  
勇	  
勠	  
翟	  
难	  
矜	  
矝	  
以	  
迨	  
迳	  
通	  
逡	  
柔	  
桑	  
枲	  
台	  
鍪	  
圣	  
垒	  
骞	  
惯	  
窈	  
窟	  
快	  
恨	  
怫	  
弿	  
穹	  
慨	  
怩	  
窘	  
字	  
学	  
忸	  
寐	  
寤	  
窿	  
怿	  
惨	  
悛	  
寥	  
怡	  
怪	  
寒	  
愃	  
悰	  
实	  
悾	  
惋	  
悈	  
宣	  
恒	  
富	  
愊	  
忆	  
愫	  
宝	  
怽	  
举	  
宇	  
怃	  
寇	  
窥	  
完	  
恸	  
情	  
害	  
宗	  
宏	  
头	  
宠	  
家	  
忧	  
怀	  
突	  
愐	  
宸	  
恹	  
寄	  
怖	  
頞	  
额	  
恢	  
憾	  
寡	  
宥	  
惰	  
寮	  
宕	  
戭	  
穿	  
窀	  
惬	  
怄	  
惭	  
窃	  
室	  
窒	  
怦	  
懦	  
悖	  
忮	  
慑	  
窦	  
守	  
定	  
忖	  
悚	  
怔	  
空	  
宦	  
宧	  
窍	  
宁	  
斗	  
愅	  
愤	  
慬	  
懥	  
黉	  
寅	  
慎	  
懒	  
惜	  
愭	  
慄	  
怙	  
悟	  
寂	  
悱	  
悼	  
恺	  
寓	  
怏	  
窠	  
蜜	  
官	  
宙	  
宜	  
恫	  
悝	  
审	  
密	  
峃	  
帘	  
忡	  
窜	  
惴	  
憹	  
愦	  
恻	  
惧	  
觉	  
惘	  
愣	  
赛	  
悃	  
寰	  
剜	  
割	  
悭	  
愧	  
怕	  
恤	  
惶	  
懊	  
憿	  
宾	  
窗	  
悔	  
悸	  
怅	  
敩	  
怍	  
性	  
窄	  
忏	  
忤	  
牢	  
窑	  
宅	  
忾	  
宪	  
愀	  
慥	  
愎	  
喾	  
恬	  
窖	  
忪	  
窆	  
慆	  
兴	  
穴	  
窸	  
窕	  
容	  
豁	  
宛	  
穸	  
窎	  
鲎	  
鸴	  
察	  
窞	  
它	  
宄	  
究	  
憺	  
惚	  
懈	  
恂	  
惛	  
客	  
恪	  
惆	  
窊	  
忻	  
窳	  
悌	  
慊	  
惮	  
窭	  
灾	  
憎	  
悦	  
寝	  
慵	  
慷	  
忭	  
褰	  
忙	  
誉	  
謇	  
宰	  
惦	  
憧	  
懔	  
恔	  
恼	  
悴	  
窣	  
窨	  
惇	  
惊	  
懹	  
宓	  
悢	  
恽	  
忱	  
甯	  
悯	  
安	  
忉	  
穷	  
怊	  
怆	  
憔	  
宿	  
惟	  
怜	  
惗	  
愉	  
窬	  
恰	  
逭	  
邃	  
怛	  
悍	  
愠	  
慢	  
惺	  
惕	  
憬	  
宴	  
宽	  
懵	  
懂	  
慌	  
寞	  
泶	  
憷	  
怵	  
宋	  
寨	  
案	  
悒	  
愕	  
蹇	  
窝	  
宫	  
怯	  
恃	  
㥄	  
悻	  
塞	  
恍	  
惝	  
宵	  
悄	  
挙	  
搴	  
郦	  
翮	  
豌	  
一	  
贰	  
戒	  
戎	  
豉	  
式	  
豇	  
画	  
融	  
丽	  
副	  
鹂	  
灭	  
忒	  
逗	  
逦	  
逼	  
亘	  
鬲	  
豆	  
旧	  
买	  
乙	  
虱	  
氹	  
厾	  
毒	  
瑑	  
玛	  
骜	  
瑙	  
素	  
瑕	  
玦	  
彗	  
珒	  
玘	  
珉	  
琚	  
叇	  
琭	  
珺	  
邗	  
邘	  
邢	  
邦	  
酆	  
耔	  
琶	  
耙	  
云	  
珝	  
璆	  
焘	  
熬	  
瑄	  
琮	  
斠	  
靛	  
琯	  
琬	  
专	  
天	  
夫	  
戋	  
未	  
末	  
玉	  
耒	  
三	  
王	  
丰	  
亍	  
于	  
井	  
击	  
干	  
开	  
韦	  
亏	  
无	  
耘	  
奏	  
珏	  
麸	  
奉	  
玮	  
耕	  
二	  
琫	  
耩	  
瑧	  
璈	  
玩	  
琎	  
瑃	  
韨	  
契	  
獒	  
环	  
珑	  
琢	  
弄	  
琦	  
耨	  
顸	  
顼	  
顽	  
嫠	  
珛	  
砉	  
碧	  
琊	  
玙	  
玡	  
辇	  
琵	  
琏	  
玶	  
瓀	  
寿	  
球	  
瑓	  
玒	  
珥	  
聱	  
玎	  
瑾	  
璜	  
珙	  
琪	  
瑚	  
瑨	  
珂	  
琡	  
武	  
璩	  
琲	  
琥	  
璨	  
琸	  
玷	  
耦	  
蚕	  
螯	  
冓	  
理	  
盂	  
盏	  
耜	  
嶅	  
帮	  
珅	  
瑞	  
瑁	  
蠢	  
现	  
纛	  
规	  
觏	  
靓	  
璎	  
璀	  
责	  
赘	  
刊	  
刑	  
刓	  
刬	  
剨	  
璞	  
瑰	  
魂	  
瑀	  
珀	  
舂	  
亓	  
璁	  
瑔	  
珦	  
敖	  
玫	  
珠	  
秦	  
耗	  
瓒	  
琍	  
琈	  
瑗	  
瑷	  
璠	  
韬	  
瑶	  
玢	  
珧	  
琤	  
静	  
艳	  
玖	  
表	  
麦	  
珊	  
鳌	  
鹉	  
珮	  
元	  
玑	  
麹	  
珣	  
珞	  
形	  
班	  
璘	  
琰	  
耧	  
璲	  
瑭	  
玟	  
斑	  
謷	  
耱	  
璃	  
璮	  
琉	  
璇	  
耪	  
璋	  
琼	  
瑯	  
恝	  
惷	  
慧	  
琅	  
瑟	  
珲	  
琛	  
玻	  
韧	  
动	  
珈	  
玳	  
珍	  
玲	  
琴	  
瑜	  
耠	  
玥	  
青	  
迂	  
运	  
进	  
远	  
违	  
遘	  
遨	  
琨	  
瑅	  
韫	  
璟	  
春	  
替	  
瑛	  
耢	  
瓘	  
泰	  
琳	  
鼋	  
璐	  
琄	  
吞	  
鏊	  
珐	  
型	  
珪	  
耖	  
琐	  
耥	  
忝	  
示	  
挈	  
珩	  
厄	  
码	  
砄	  
硍	  
砩	  
厩	  
碾	  
碌	  
邳	  
郁	  
存	  
殛	  
础	  
友	  
翃	  
磴	  
碜	  
磉	  
殆	  
烈	  
碹	  
碇	  
殡	  
砣	  
碗	  
丈	  
不	  
大	  
太	  
尤	  
戊	  
戍	  
成	  
歹	  
犬	  
豕	  
龙	  
丕	  
戌	  
面	  
厨	  
礓	  
威	  
咸	  
丌	  
卅	  
兀	  
尢	  
碡	  
残	  
砖	  
辰	  
尪	  
矸	  
研	  
夸	  
碛	  
硎	  
奈	  
厌	  
奀	  
耎	  
餍	  
碱	  
靥	  
厂	  
奭	  
磊	  
砺	  
砼	  
碕	  
硕	  
顾	  
奡	  
厦	  
殄	  
砻	  
戛	  
厉	  
砑	  
厍	  
砗	  
砘	  
硗	  
砸	  
奁	  
砒	  
砌	  
硖	  
砰	  
礌	  
套	  
夺	  
硬	  
耐	  
辱	  
左	  
歪	  
矼	  
硒	  
耷	  
聋	  
臧	  
奔	  
厅	  
殖	  
殣	  
盦	  
磺	  
硔	  
龚	  
厮	  
磡	  
厝	  
奢	  
碟	  
奇	  
敧	  
砧	  
戚	  
硙	  
殃	  
虺	  
蜃	  
厘	  
奋	  
殂	  
盔	  
盛	  
硐	  
厣	  
布	  
砷	  
而	  
奄	  
碳	  
冇	  
厕	  
碘	  
砚	  
赝	  
页	  
尴	  
列	  
刳	  
剞	  
劂	  
魇	  
夼	  
碑	  
硇	  
原	  
殊	  
硪	  
砟	  
歼	  
牵	  
矻	  
殇	  
殍	  
砭	  
豨	  
爽	  
匏	  
砲	  
殁	  
夏	  
尥	  
矽	  
矾	  
砥	  
砾	  
鸸	  
鹌	  
鹩	  
甭	  
磜	  
砜	  
飙	  
死	  
矶	  
确	  
欹	  
砍	  
殉	  
碈	  
磔	  
硌	  
碉	  
瓠	  
耏	  
斫	  
磁	  
碰	  
磋	  
殚	  
厥	  
磷	  
灰	  
燹	  
袭	  
裂	  
砬	  
矿	  
詟	  
碲	  
硫	  
礅	  
磙	  
磅	  
碎	  
碚	  
态	  
恧	  
感	  
愿	  
碥	  
孬	  
破	  
耍	  
砀	  
励	  
勔	  
历	  
夯	  
殓	  
硷	  
礁	  
尬	  
碓	  
雄	  
飱	  
餮	  
仄	  
雁	  
有	  
硼	  
达	  
还	  
逐	  
厚	  
碍	  
碣	  
百	  
礞	  
砹	  
礤	  
硭	  
礴	  
泵	  
磲	  
厢	  
碴	  
蹙	  
殒	  
右	  
否	  
唇	  
唘	  
石	  
砝	  
压	  
殪	  
磕	  
在	  
垄	  
奎	  
硅	  
砂	  
硝	  
辎	  
辗	  
邨	  
邪	  
郅	  
郾	  
翘	  
翳	  
轰	  
辍	  
轻	  
炁	  
辖	  
东	  
夷	  
弋	  
戈	  
瓦	  
与	  
互	  
轼	  
辐	  
万	  
牙	  
车	  
屯	  
巨	  
轧	  
转	  
匡	  
轩	  
辏	  
臻	  
轭	  
尧	  
顷	  
顿	  
毙	  
雀	  
瓯	  
七	  
匦	  
轾	  
辅	  
辆	  
甙	  
辄	  
毕	  
轱	  
轲	  
轳	  
匪	  
虿	  
轴	  
匣	  
䘌	  
匝	  
匮	  
辋	  
划	  
到	  
皆	  
医	  
攷	  
致	  
轶	  
轿	  
轷	  
区	  
殴	  
轹	  
鸢	  
鸥	  
鸦	  
鸫	  
匹	  
比	  
轨	  
欤	  
欧	  
软	  
辂	  
辀	  
匠	  
斩	  
辚	  
辘	  
辙	  
较	  
辌	  
惑	  
慝	  
毖	  
匾	  
轫	  
妻	  
切	  
劢	  
劻	  
轺	  
辁	  
轮	  
轸	  
雅	  
输	  
匼	  
迈	  
迍	  
迓	  
连	  
辊	  
暂	  
匿	  
椠	  
彧	  
或	  
辑	  
趸	  
轵	  
叵	  
